ID,Title,Journal,journal_image,docs_catalog,references_catalog,Link,Date published,Abstract,research_projects
68,Pollution dans les écoles : les solutions pour protéger les enfants,Le Journal des Femmes,/images/journal/journaldesfemmes.png,,analyse-respire,"https://www.journaldesfemmes.fr/maman/enfant/2511059-carte-ecoles-pollution-enfants-respire/#:~:text=Comment%20pr%C3%A9server%20les%20enfants%20contre%20la%20pollution%20%C3%A0%20l'%C3%A9cole%20%3F&text=Des%20solutions%20existent%2C%20rappelle%20l,l'optimisation%20de%20la%20ventilation.",2019-11-09,interactive de la pollution de lair dans les écoles dÎle-de-France. @datactivist @iledefrance @Paris #AirEcolehttps://t.co/JzXdUU0Xkw pic.twitter.com/N3hw8kkQQI -- Respire Association (@respireasso) 28 mars 2019 Comment améliorer la qualité de l ...,
69,"N. Tiourtite : ""Cmarue est entré en phase de déploiement""",Décideurs Magazine,/images/journal/decideursmag.png,,,https://www.decideurs-magazine.com/immobilier-public-environnement/37028-n-tiourtite-cmarue-est-entre-en-phase-de-deploiement.html,2019-08-11,"Lancée en 2017, la solution de concertation appliquée à la question du commerce Cmarue a fait ses preuves dans le 19e arrondissement de Paris. Présente sur l'édition 2019 du salon ...",
70,"Pollution: Trois enfants sur quatre respirent un air toxique en France, s'alarme l'Unicef",20 Minutes,/images/journal/20minutes.png,,analyse-respire,https://www.20minutes.fr/planete/2489035-20190404-pollution-trois-enfants-quatre-respirent-air-toxique-france-alarme-unicef,2019-04-04,"la pollution de l'air dans les écoles d'Île-de-France. @datactivist @iledefrance @Paris #AirEcolehttps://t.co/JzXdUU0Xkw pic.twitter.com/N3hw8kkQQI -- Respire Association (@respireasso) March 28, 2019 Mobilités douces et piétonnisation L'Unicef ...",
71,Opinion | Où en est-on de l'open data en France ?,Les Echos,/images/journal/echos.png,,,https://www.lesechos.fr/idees-debats/cercle/opinion-ou-en-est-on-de-lopen-data-en-france-1146558,2019-08-11,"L'Open Data consiste à rendre accessibles et librement réutilisables des données produites, reçues ou traitées par les administrations publiques, et certaines données d'entreprises privées, afin de faciliter le dialogue ...",
72,Open data : l'Occitanie voit grand,La Gazette des communes,/images/journal/gazette.png,,,https://www.lagazettedescommunes.com/555166/loccitanie-batit-sa-strategie-de-la-donnee-en-general-et-de-lopendata-en-particulier/,2018-03-16,"Montpellier ou Toulouse, les deux grandes métropoles de la nouvelle région Occitanie ont fait partie des pionnières de l'opendata en France, et le premier président de l'association Opendata France ...",
73,"Pollution de l'air : en Ile-de-France et à Marseille, les écoles sont trop exposées",Le Parisien,/images/journal/leparisien.png,,analyse-respire,https://www.leparisien.fr/environnement/pollution-de-l-air-en-ile-de-france-et-a-marseille-les-ecoles-sont-trop-exposees-28-03-2019-8041347.php,2019-03-28,"Mais, bonne nouvelle, Respire remarque qu'entre 2012 et 2017, le ...",
74,"Après le « grand débat », des « Bureaux ouverts » pour faire participer les citoyens aux projets de loi",L'Obs,/images/journal/lobs.png,,,https://www.nouvelobs.com/politique/20190508.OBS12631/apres-le-grand-debat-des-bureaux-ouverts-pour-faire-participer-les-citoyens-aux-projets-de-loi.html,2019-08-05,"« On a besoin de vous, on a besoin de vos propositions » : face à la vingtaine de participants du « Bureau ouvert », ce vendredi 26 avril, à l'hôtel de Roquelaure, à Paris ...",
75,Vers un « pure player » de la gestion des données publiques,Le Moniteur,/images/journal/moniteur.png,,,https://www.lemoniteur.fr/article/vers-un-pure-player-de-la-gestion-des-donnees-publiques.2052974,2019-09-20,"Smart city, big Data des territoires, loi sur l' Open Data, intelligence artificielle... Les enjeux de la gestion des données sont de plus en plus présents dans la sphère publique ...",
76,Pourquoi la ville selon Google n'est pas transposable en France,La Gazette des communes,/images/journal/gazette.png,expo-smartcity-images,,https://www.lagazettedescommunes.com/625064/la-ville-selon-google-est-elle-transposable-en-france/?abo=1,2019-10-06,"Pas franchement impressionnés, mais pas rassurés non plus. C'est le sentiment qu'ont manifesté les membres d'une délégation d'élus locaux et d'agents territoriaux après la visite, fin ...",
77,L'objectif est toujours le même : engager un dialogue constructif ,Libération,/images/journal/liberation.png,,,https://www.liberation.fr/societe/acces-aux-documents-administratifs-lobjectif-est-toujours-le-meme-engager-un-dialogue-constructif-20240516_6WZD5KYBMRFSNK7XQ5ITCVIG6A/,2024-05-17,"En leur qualité de citoyens, ils se saisissent d'un droit, ancien mais peu connu : l'accès aux documents administratifs. «Libé» donne la parole à quatre d'entre eux, qui ferraillent pour obtenir des informations parfois étonnantes. ",
78,"Dix ans après sa création, l’association de collectivités OpenDataFrance veut faire sa mue",Acteurs Publics,/images/journal/acteurspublics.png,,,https://acteurspublics.fr/articles/dix-ans-apres-sa-creation-lassociation-de-collectivites-opendatafrance-veut-faire-sa-mue,2024-05-03,"Créée en 2013, avant même la loi Lemaire, pour inciter les collectivités à ouvrir leurs précieuses données, l’association est en pleine introspection. Elle a lancé une consultation publique pour l’aider à redéfinir son rôle et sa place dans l’écosystème des données ouvertes. ",
79,« L'ouverture des données ressemble à la tour de Pise » ,La Gazette des communes,/images/journal/gazette.png,,,https://www.lagazettedescommunes.com/916856/louverture-des-donnees-ressemble-a-la-tour-de-pise/,2024-03-11,"Samuel Goëta, sociologue, maître de conférences associé à Sciences-po Aix, cofondateur de la société coopérative Datactivist",
80,Les bénéfices sociaux et environnementaux des petits commerces révélés dans une étude ,La Tribune,/images/journal/LaTribune.png,rapport-excom-1 ,,https://www.latribune.fr/entreprises-finance/services/les-benefices-sociaux-et-environnementaux-des-petits-commerces-reveles-dans-une-etude-996198.html,2024-04-26,"Et si le petit commerce valait tous les capteurs, objets connectés et autres applis dont nos villes s’entichent au nom de la sécurité ou de l’environnement ? C’est ce que laisse penser une étude publiée par Paris Commerces. Elle démontre que le commerce de proximité rend beaucoup plus de services à la population que ce qui est habituellement pressenti. ",
81,Comment Opendatasoft est devenue l’acteur incontournable de l’ouverture des données publiques,Le Monde,/images/journal/lemonde.png,,,https://www.lemonde.fr/les-decodeurs/article/2024/03/05/comment-opendatasoft-est-devenue-l-acteur-incontournable-de-l-ouverture-des-donnees-publiques_6220195_4355770.html,2024-03-05,"L’entreprise française a su répondre à un besoin nouveau des administrations, créé par l’obligation légale d’ouvrir leurs données. ",
82,Open Data France se lance dans un grand exercice de réinvention ,La Gazette des communes,/images/journal/gazette.png,,,https://www.lagazettedescommunes.com/914676/open-data-france-se-lance-dans-un-grand-exercice-de-reinvention/,2024-02-22,"Open Data France a lancé le 22 février une consultation publique et invité toutes les structures qui se sentent concernées par la question de la donnée à participer. Raison d’être, périmètre d’intervention, gouvernance, financement, l’association ambitionne de tout remettre à plat pour ses dix ans. Une journée de restitution aura lieu le 17 avril prochain pour présenter les pistes envisagées. ",
83,Open data publique : « On voit les limites dès que les données pourraient remettre en cause le pouvoir établi » ,Le Monde,/images/journal/lemonde.png,,,https://www.lemonde.fr/les-decodeurs/article/2024/03/05/open-data-publique-on-voit-les-limites-des-que-les-donnees-pourraient-remettre-en-cause-le-pouvoir-etabli_6220230_4355770.html,2024-03-05,"Dans un entretien au « Monde », le sociologue Samuel Goëta dresse un bilan de l’ouverture des données publiques en France. ",
84,Analyse : les effets extra-économiques du commerce sur la ville,L’Express Franchise et Commerce Associé,/images/journal/LExpressComm.png,rapport-excom-1 ,,https://lexpress-franchise.com/articles/analyse-les-effets-extra-economiques-du-commerce-sur-la-ville/,2024-05-12,"Le projet de recherche lancée fin 2022 par Datactivist, spécialiste de l’open data et la SEM Paris Commerces, spécialiste du commerce et de la revitalisation des centres-villes, avait pour objectif de rendre visible les effets sociaux et environnementaux du commerce de proximité et de les objectiver, afin de réinventer la valeur du commerce. Résultats 18 « externalités » au compteur. Explications. ",
85,La transparence des algorithmes publics ne peut pas se résumer à un débat d’experts,Acteurs Publics,/images/journal/acteurspublics.png,mediation-algorithmes,,https://acteurspublics.fr/articles/la-transparence-des-algorithmes-publics-ne-peut-pas-se-resumer-a-un-debat-dexperts,2024-05-16,"Les coopératives Datactivist et Mednum ont lancé une ""recherche-action"" pour développer la médiation autour du fonctionnement et de la place des algorithmes. Objectif : sortir le sujet du débat d'experts pour en faire un sujet de débat citoyen et ainsi donner plus de corps à la transparence les algorithmes publics, encore loin d'être une réalité malgré des dispositions légales plutôt fortes et contraignantes, selon Loup Cellard, spécialiste de l'explicabilité des algorithmes chez Datactivist. ",
86,Samuel Göeta : «Il y a aujourd’hui un open data à deux vitesses»,Horizons Publics,/images/journal/horizonspublics.png,,,https://www.horizonspublics.fr/samuel-goeta-il-y-aujourdhui-un-open-data-deux-vitesses,2024-05-21,"Sociologue, maître de conférences associé à Sciences Po Aix et spécialiste de l’open data, Samuel Goëta a publié, en février 2024, Les données de la démocratie. Open data, pouvoirs et contre-pouvoirs1. Co-fondateur de la société coopérative Datactivist, où il accompagne les projets d’ouverture de données, il a aussi participé, en 2012, à la création de l’association Open Knowledge France, qui anime le site Madata.fr, destiné à faciliter l’usage citoyen du droit d’accès aux documents administratifs. ",
87,18 effets sociaux et environnementaux du commerce sur la ville,Viuz,/images/journal/viuz.png,,,https://viuz.com/2024/05/13/18-effets-sociaux-et-environnementaux-du-commerce-sur-la-ville/,2024-05-13,"L’enquête « Ex-Com » de Datactivist, avec notamment la SEM Paris commerces et la Métropole Rouen Normandie, mesure la valeur sociale et environnementale du commerce en ville. Nous en avons extrait des exemples d’initiatives de commerçants pour inspirer aussi les décideurs e-commerce. Parce que le commerce physique reste un maillon fort du parcours client « phygital » et peut aussi simplifier et embellir le quotidien des habitants des villes. Bonus en fin d’article : un zoom sur le commerce à Paris. ",excom
88,"Lutte contre l’isolement, soutiens, sécurité : les effets du commerce de proximité dans 9 villes",Age Village,/images/journal/agevillage.png,,,https://www.agevillage.com/actualites/lutte-contre-lisolement-soutiens-s%C3%A9curit%C3%A9-les-effets-du-commerce-de-proximit%C3%A9-dans-9-villes,2024-04-15,"La première phase du projet de recherche lancée fin 2022 par Datactivist et la SEM Paris Commerces (ex Semaest ) dans 9 villes Paris, Marseille, Nîmes, Aix-en-Provence, Saint-Ouen, Duclair, Elbeuf-Sur-Seine, Le Trait et Rouen, met en évidence 18 effets « sociaux et environnementaux ». Zoom sur la stratégie mobilités Seniors dans le Grand Paris. ",excom
89,"Cinq ans après sa création, le groupement Data Publica s’élargit avec trois nouveaux partenaires",AEF,/images/journal/logo-aef.png,,,https://www.aefinfo.fr/depeche/717809-cinq-ans-apres-sa-creation-le-groupement-data-publica-s-elargit-avec-trois-nouveaux-partenaires,2024-09-18,"""Changer d’échelle pour répondre aux attentes et aux besoins des acteurs publics"" en matière de gestion des données : telle est l’ambition de Data Publica, qui annonce lundi 16 septembre 2024 son élargissement. ",

